Year of study,Faculty,Your GPA Range,How do you describe yourself?,Preferred activity type,Are you willing to try new types of events?,Academic interests,Preferred Learning Platforms,Learning resource  preferences,Preferred learning format,"Extracurricular interest Assessment (1- not interested, 5- very interested)  [Sports]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Music]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Photography]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Volunteering]","Extracurricular interest Assessment (1- not interested, 5- very interested)  [Arts and Crafts]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Academic  workshops]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Study groups]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Cultural programs]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Tech events]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Social gatherings]","Rate your preferences for each type of university event (1= Least preferred, 5= Most preferred) [Career development sessions]",Preferred mode of participation,How often do you like to attend university events.,Have you attended university events before?,"If yes, Name one or more events you attended.(Academic, Social, Career-related, Cultural, Sports)","Rate your past event experience:  (1= Very poor, 5= Excellent) [Your Rating]",What did you like about previous events?,Any additional suggestions or preferences?,GPA_numeric,GPA_normalized
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","science, soft skills (communication, leadership)","youtube, university lms",random browsing,"video lectures, notes/pdf",2,1,2,2,1,5,3,2,2,3,2,hybrid,occasionally,yes,academic,4.0,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),individual sessions,"yes, i’m open to trying new events","science, psychology, soft skills (communication, leadership)","youtube, university lms",random browsing,"video lectures, notes/pdf",3,2,2,1,1,4,3,2,2,1,1,hybrid,occasionally,yes,sports,4.0,good,no,2.8,0.4736842105263158
2nd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","science, soft skills (communication, leadership)","youtube, university lms",random browsing,"video lectures, notes/pdf",4,1,2,2,1,4,4,2,2,2,2,hybrid,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
3rd year,applied sciences,2.6 - 3.0,ambivert (i like both alone time and being with people),individual sessions,"maybe, it depends on the event","technology, science, soft skills (communication, leadership)","youtube, university lms",random browsing,video lectures,2,1,1,2,1,4,3,2,2,2,3,hybrid,occasionally,yes,careeer-related,4.0,good,no,2.8,0.4736842105263158
1st year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),individual sessions,"yes, i’m open to trying new events","science, psychology, soft skills (communication, leadership)","coursera, university lms","based on interest, recommended by peers, random browsing","video lectures, notes/pdf",2,2,3,2,1,4,4,2,2,3,2,hybrid,monthly,yes,culture,5.0,good,no,2.25,0.1842105263157895
2nd year,applied sciences,2.0 - 2.5,ambivert (i like both alone time and being with people),individual sessions,"yes, i’m open to trying new events","technology, science, psychology, soft skills (communication, leadership)","youtube, linkedin learning, university lms",based on interest,"video lectures, discussion forums",2,2,1,2,1,4,4,3,2,2,2,hybrid,monthly,yes,sports,3.0,good,no,2.25,0.1842105263157895
2nd year,management studies,2.0 - 2.5,introvert (i like being alone),individual sessions,"yes, i’m open to trying new events","business & management, competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms",random browsing,"video lectures, discussion forums",2,2,3,2,1,4,4,2,1,1,2,physical,monthly,yes,social,3.0,good,no,2.25,0.1842105263157895
3rd year,medical & allied sciences,2.6 - 3.0,introvert (i like being alone),individual sessions,"yes, i’m open to trying new events","science, psychology, soft skills (communication, leadership)","youtube, coursera, khanacademy, linkedin learning, university lms","based on interest, recommended by peers, required for exams, random browsing","video lectures, notes/pdf, discussion forums, live sessions",2,2,3,2,1,5,3,2,2,1,1,hybrid,occasionally,yes,academic,3.0,good,no,2.8,0.4736842105263158
3rd year,medical & allied sciences,3.1 - 3.5,introvert (i like being alone),individual sessions,"yes, i’m open to trying new events","technology, science, psychology, soft skills (communication, leadership)","coursera, university lms","recommended by peers, random browsing","video lectures, interactive quizzes, notes/pdf",3,2,2,2,1,5,4,3,2,2,2,hybrid,occasionally,yes,"academic,social",5.0,good,no,3.3,0.7368421052631579
4th year,agriculture,3.1 - 3.5,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","technology, business & management, competitive exams / certifications","youtube, coursera, university lms","based on interest, recommended by peers, random browsing","video lectures, interactive quizzes, notes/pdf",3,2,3,3,1,5,5,2,2,3,2,hybrid,occasionally,yes,"academic, career-related",4.0,good,no,3.3,0.7368421052631579
1st year,management studies,2.0 - 2.5,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","technology, business & management, competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms",random browsing,"video lectures, notes/pdf",2,2,3,2,2,5,4,3,3,3,2,physical,occasionally,yes,sport,4.0,good,no,2.25,0.1842105263157895
3rd year,social sciences & humanities,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"maybe, it depends on the event","technology, competitive exams / certifications, soft skills (communication, leadership)","youtube, university lms","based on interest, random browsing","video lectures, notes/pdf",2,1,2,2,2,4,4,2,2,2,2,physical,occasionally,no,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
1st year,medical & allied sciences,2.6 - 3.0,extrovert (i enjoy being with others),group activities,"maybe, it depends on the event","science, soft skills (communication, leadership)","youtube, university lms","based on interest, suggested by platform","interactive quizzes, discussion forums",3,3,3,4,4,5,5,5,3,4,5,physical,rarely,yes,academic,3.9066666666666654,good,no,2.8,0.4736842105263158
2nd year,social sciences & humanities,2.6 - 3.0,ambivert (i like both alone time and being with people),group activities,"yes, i’m open to trying new events","psychology, competitive exams / certifications, soft skills (communication, leadership)","youtube, coursera, linkedin learning, university lms","based on interest, random browsing","video lectures, notes/pdf",3,2,2,3,2,5,5,3,3,2,2,hybrid,occasionally,yes,social,3.0,good,no,2.8,0.4736842105263158
3rd year,agriculture,3.1 - 3.5,introvert (i like being alone),individual sessions,"maybe, it depends on the event","science, soft skills (communication, leadership)","youtube, university lms",required for exams,"video lectures, notes/pdf",3,3,5,4,5,5,3,5,3,4,5,hybrid,monthly,yes,academic,3.9066666666666654,good,no,3.3,0.7368421052631579
